,Make,Model,Year,MSRP,Front Wheel Size (in),Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Net Horsepower,City Gas Mileage (mpg),Highway Gas Mileage (mpg)
2015 Chevrolet Suburban,Chevrolet,Suburban,2015,49000,18,53,Gas/Ethanol,80.5,74.40,,RWD,8,4,SUV,350,16,23 
2014 Chevrolet Suburban,Chevrolet,Suburban,2014,46300,17,53,Gas/Ethanol,79.1,76.80,,RWD,9,4,SUV,320,15,21 
2013 Chevrolet Suburban,Chevrolet,Suburban,2013,43870,17,53,Gas/Ethanol,79.1,76.80,,RWD,9,4,SUV,320,15,21 
2012 Chevrolet Suburban,Chevrolet,Suburban,2012,42220,17,53,Gas/Ethanol,79.1,76.8,,RWD,9,4,SUV,320,15,21 
2010 Chevrolet Suburban,Chevrolet,Suburban,2010,40635,17,53,Gas/Ethanol,79.1,76.8,,RWD,9,4,SUV,320,15,21 
2009 Chevrolet Suburban,Chevrolet,Suburban,2009,40370,17,53,Gas,79.1,76.8,,RWD,9,4,SUV,310,14,20 
2008 Chevrolet Suburban,Chevrolet,Suburban,2008,38085,17,53,Gas,79.1,76.8,,RWD,8,4,SUV,320,14,20 
2023 Chevrolet Traverse,Chevrolet,Traverse,2023,54200,20,36,Gas,78.6,70.7,205.9,AWD,7,4,SUV,310,17,25 
2022 Chevrolet Traverse,Chevrolet,Traverse,2022,53400,20,36,Gas,78.6,70.7,205.9,AWD,7,4,SUV,310,17,25 
2021 Chevrolet Traverse,Chevrolet,Traverse,2021,53400,20,36,Gas,78.6,70.7,204.3,AWD,7,4,SUV,310,17,25 
2020 Chevrolet Traverse,Chevrolet,Traverse,2020,53200,20,36,Gas,78.6,70.7,204.3,AWD,7,4,SUV,310,17,25 
2019 Chevrolet Traverse,Chevrolet,Traverse,2019,53200,20,36,Gas,78.6,70.7,204.3,AWD,7,4,SUV,310,17,25 
2018 Chevrolet Traverse,Chevrolet,Traverse,2018,52600,20,36,Gas,78.6,70.7,204.3,AWD,7,4,SUV,310,17,25 
2017 Chevrolet Traverse,Chevrolet,Traverse,2017,33300,17,36,Gas,78.5,69.90,203.7,AWD,8,4,SUV,280,15,22 
2016 Chevrolet Traverse,Chevrolet,Traverse,2016,33205,17,36,Gas,78.5,69.90,203.7,AWD,8,4,SUV,280,15,22 
2015 Chevrolet Traverse,Chevrolet,Traverse,2015,32995,17,36,Gas,78.5,69.90,203.7,AWD,8,4,SUV,280,16,23 
2014 Chevrolet Traverse,Chevrolet,Traverse,2014,32795,17,36,Gas,78.5,69.90,203.7,AWD,8,4,SUV,280,16,23 
2013 Chevrolet Traverse,Chevrolet,Traverse,2013,32510,17,36,Gas,78.5,69.90,203.7,AWD,8,4,SUV,280,16,23 
2012 Chevrolet Traverse,Chevrolet,Traverse,2012,31660,17,36,Gas,78.4,70.4,205.0,AWD,8,4,SUV,280,16,23 
2011 Chevrolet Traverse,Chevrolet,Traverse,2011,31370,17,36,Gas,78.4,70.4,205.0,AWD,8,4,SUV,280,16,23 
2010 Chevrolet Traverse,Chevrolet,Traverse,2010,31224,17,36,Gas,78.4,70.4,205.0,AWD,8,4,SUV,280,16,23 
2009 Chevrolet Traverse,Chevrolet,Traverse,2009,31215,17,36,Gas,78.4,70.4,205.0,AWD,8,4,SUV,280,16,23 
2024 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2024,45900,20,27,Gas,81.2,75.49,231.8,RWD,6,4,Pickup,310,,
2023 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2023,45900,20,27,Gas,81.2,75.49,231.8,RWD,6,4,Pickup,310,19,22 
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,43900,20,27,Gas,81.2,75.49,231.8,RWD,6,4,Pickup,310,19,22 
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,38900,20,27,Gas,81.2,75.49,231.7,RWD,6,4,Pickup,310,20,23 
2020 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2020,37000,20,43,Gas,81.2,75.49,231.7,RWD,6,4,Pickup,280,16,21 
2019 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2019,37000,20,43,Gas,81.2,75.49,231.7,RWD,6,4,Pickup,280,16,21 
2018 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2018,36700,20,43,Gas/Ethanol,80.0,74.17,,RWD,6,4,Pickup,280,18,24 
2017 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2017,51700,20,53,Gas,80.0,74.17,,RWD,5,4,Pickup,350,16,22 
2016 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2016,37230,20,43,Gas/Ethanol,80.0,74.17,,RWD,6,4,Pickup,280,18,24 
2015 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2015,48315,20,53,Gas,80.0,74.17,,RWD,5,4,Pickup,350,16,23 
2014 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2014,45605,20,53,Gas/Ethanol,80.0,74.17,,RWD,5,4,Pickup,350,16,23 
2013 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2013,33540,17,48,Gas/Ethanol,80.0,73.80,,RWD,6,4,Pickup,300,14,19 
2012 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2012,31995,17,48,Gas/Ethanol,80.0,73.8,,RWD,6,4,Pickup,300,14,19 
2011 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2011,30745,17,48,Gas/Ethanol,80.0,73.8,,RWD,6,4,Pickup,300,14,19 
2010 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2010,30360,17,48,Gas/Ethanol,80.0,73.8,,RWD,6,4,Pickup,300,14,19 
2009 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2009,30040,17,48,Gas,80.0,73.8,,RWD,6,4,Pickup,290,14,19 
2008 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2008,28255,17,48,Gas,79.9,73.8,,RWD,6,4,Pickup,290,14,19 
2024 Chevrolet Trax,Chevrolet,Trax,2024,22100,18,12,Gas,71.8,61.42,178.6,FWD,5,4,SUV,130,28,32 
2022 Chevrolet Trax,Chevrolet,Trax,2022,22320,16,14,Gas,69.9,65.2,167.2,AWD,5,4,SUV,150,23,30 
2021 Chevrolet Trax,Chevrolet,Trax,2021,22020,16,14,Gas,69.9,65.2,167.2,AWD,5,4,SUV,150,23,30 
2020 Chevrolet Trax,Chevrolet,Trax,2020,22020,16,14,Gas,69.9,65.2,167.2,AWD,5,4,SUV,130,24,29 
2019 Chevrolet Trax,Chevrolet,Trax,2019,22800,16,14,Gas,69.9,65.2,167.2,AWD,5,4,SUV,130,24,29 
2018 Chevrolet Trax,Chevrolet,Trax,2018,22500,16,14,Gas,69.9,65.2,167.2,AWD,5,4,SUV,130,24,30 
2017 Chevrolet Trax,Chevrolet,Trax,2017,22500,16,14,Gas,69.9,64.8,167.6,AWD,5,4,SUV,130,24,30 
2016 Chevrolet Trax,Chevrolet,Trax,2016,21800,16,14,Gas,69.9,65.2,167.2,AWD,5,4,SUV,130,24,31 
2015 Chevrolet Trax,Chevrolet,Trax,2015,21620,16,14,Gas,69.9,65.2,168.5,AWD,5,4,SUV,130,24,31 
2024 Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2024,28700,17,13,Gas,71.2,65.68,174.0,AWD,5,4,SUV,150,,
2023 Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2023,27700,17,13,Gas,71.2,65.7,173.7,AWD,5,4,SUV,150,26,30 
2022 Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2022,27400,17,13,Gas,71.2,65.7,173.7,AWD,5,4,SUV,150,26,30 
2021 Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2021,27000,17,13,Gas,71.2,65.7,173.7,AWD,5,4,SUV,150,26,30 
2009 Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2009,29155,17,42,Gas,74.7,72.5,,RWD,5,4,SUV,280,14,20 
2008 Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2008,27745,17,42,Gas,74.7,72.50,,RWD,5,4,SUV,280,14,20 
2024 Chevrolet Equinox,Chevrolet,Equinox,2024,28200,17,15,Gas,72.6,65.4,183.1,AWD,5,4,SUV,170,24,30 
2023 Chevrolet Equinox,Chevrolet,Equinox,2023,28200,17,15,Gas,72.6,65.4,183.1,AWD,5,4,SUV,170,24,30 
2022 Chevrolet Equinox,Chevrolet,Equinox,2022,27900,17,15,Gas,72.6,65.4,183.1,AWD,5,4,SUV,170,25,30 
2021 Chevrolet Equinox,Chevrolet,Equinox,2021,28000,17,15,Gas,72.6,65.4,183.1,AWD,5,4,SUV,170,,
2020 Chevrolet Equinox,Chevrolet,Equinox,2020,27900,17,15,Gas,72.6,65.4,183.1,AWD,5,4,SUV,170,25,30 
2019 Chevrolet Equinox,Chevrolet,Equinox,2019,27600,17,15,Gas,72.6,65.40,183.1,AWD,5,4,SUV,170,25,30 
2018 Chevrolet Equinox,Chevrolet,Equinox,2018,27300,17,15,Gas,72.6,65.40,183.1,AWD,5,4,SUV,170,24,30 
2017 Chevrolet Equinox,Chevrolet,Equinox,2017,27260,17,24,Gas,72.5,66.30,187.8,AWD,5,4,SUV,180,20,28 
2016 Chevrolet Equinox,Chevrolet,Equinox,2016,27160,17,24,Gas,72.5,66.30,187.8,AWD,5,4,SUV,180,20,29 
2015 Chevrolet Equinox,Chevrolet,Equinox,2015,26270,17,24,Gas,72.5,66.30,187.8,AWD,5,4,SUV,180,20,29 
2014 Chevrolet Equinox,Chevrolet,Equinox,2014,26190,17,24,Gas/Ethanol,72.5,66.30,187.8,AWD,5,4,SUV,180,20,29 
2013 Chevrolet Equinox,Chevrolet,Equinox,2013,25975,17,24,Gas/Ethanol,72.5,66.30,187.8,AWD,5,4,SUV,180,20,29 
2012 Chevrolet Equinox,Chevrolet,Equinox,2012,25280,17,24,Gas/Ethanol,72.5,66.3,187.8,AWD,5,4,SUV,180,20,29 
2011 Chevrolet Equinox,Chevrolet,Equinox,2011,24745,17,24,Gas,72.5,66.3,187.8,AWD,5,4,SUV,180,20,29 
2010 Chevrolet Equinox,Chevrolet,Equinox,2010,24365,17,24,Gas,72.5,66.3,187.8,AWD,5,4,SUV,180,20,29 
2009 Chevrolet Equinox,Chevrolet,Equinox,2009,26310,16,34,Gas,71.4,69.3,188.8,AWD,5,4,SUV,180,17,24 
2008 Chevrolet Equinox,Chevrolet,Equinox,2008,24660,16,34,Gas,71.4,69.3,188.8,AWD,5,4,SUV,180,17,24 
2024 Chevrolet Colorado,Chevrolet,Colorado,2024,31900,17,27,Gas,74.9,79.07,213.2,RWD,5,4,Pickup,230,,
2023 Chevrolet Colorado,Chevrolet,Colorado,2023,31600,17,27,Gas,74.9,78.8,213,RWD,5,4,Pickup,230,20,25 
2022 Chevrolet Colorado,Chevrolet,Colorado,2022,30935,17,25,Gas,74.3,70.7,212.7,RWD,5,4,Pickup,200,19,25 
2021 Chevrolet Colorado,Chevrolet,Colorado,2021,29700,17,25,Gas,74.3,70.7,212.7,RWD,5,4,Pickup,200,19,25 
2020 Chevrolet Colorado,Chevrolet,Colorado,2020,29700,17,25,Gas,74.3,70.7,212.7,RWD,5,4,Pickup,200,20,26 
2019 Chevrolet Colorado,Chevrolet,Colorado,2019,29600,17,25,Gas,74.3,70.70,212.7,RWD,5,4,Pickup,200,20,26 
2018 Chevrolet Colorado,Chevrolet,Colorado,2018,29100,17,25,Gas,74.3,70.70,,RWD,5,4,Pickup,200,20,26 
2017 Chevrolet Colorado,Chevrolet,Colorado,2017,28715,17,25,Gas,74.3,70.70,,RWD,5,4,Pickup,200,20,26 
2016 Chevrolet Colorado,Chevrolet,Colorado,2016,28410,17,25,Gas,74.3,70.70,,RWD,5,4,Pickup,200,20,27 
2015 Chevrolet Colorado,Chevrolet,Colorado,2015,27110,17,25,Gas,74.3,70.70,,RWD,5,4,Pickup,200,20,27 
2012 Chevrolet Colorado,Chevrolet,Colorado,2012,24285,16,29,Gas,67.6,65.2,,RWD,6,4,Pickup,180,18,25 
2010 Chevrolet Colorado,Chevrolet,Colorado,2010,23785,16,29,Gas,67.6,65.2,,RWD,6,4,Pickup,180,18,25 
2009 Chevrolet Colorado,Chevrolet,Colorado,2009,23330,16,29,Gas,67.6,65.2,,RWD,6,4,Pickup,180,18,24 
2008 Chevrolet Colorado,Chevrolet,Colorado,2008,21590,15,29,Gas,67.6,65.2,,RWD,6,4,Pickup,180,18,24 
2024 Chevrolet Camaro,Chevrolet,Camaro,2024,36900,18,36,Gas,74.7,52.9,188.3,RWD,4,2,Convertible,330,,
2023 Chevrolet Camaro,Chevrolet,Camaro,2023,32900,18,20,Gas,74.7,52.9,188.3,RWD,4,2,Convertible,270,19,28 
2022 Chevrolet Camaro,Chevrolet,Camaro,2022,31500,18,20,Gas,74.7,52.9,188.3,RWD,4,2,Convertible,270,19,29 
2021 Chevrolet Camaro,Chevrolet,Camaro,2021,31500,18,20,Gas,74.7,52.9,188.3,RWD,4,2,Convertible,270,19,29 
2020 Chevrolet Camaro,Chevrolet,Camaro,2020,31500,18,20,Gas,74.7,52.9,188.3,RWD,4,2,Convertible,270,20,30 
2019 Chevrolet Camaro,Chevrolet,Camaro,2019,31500,18,20,Gas,74.7,52.9,188.3,RWD,4,2,Convertible,270,20,30 
2018 Chevrolet Camaro,Chevrolet,Camaro,2018,31905,18,20,Gas,74.7,52.90,188.3,RWD,4,2,Convertible,270,20,30 
2017 Chevrolet Camaro,Chevrolet,Camaro,2017,31905,18,20,Gas,74.7,52.90,188.3,RWD,4,2,Convertible,270,20,30 
2016 Chevrolet Camaro,Chevrolet,Camaro,2016,32700,18,20,Gas,74.7,52.90,188.3,RWD,4,2,Convertible,270,21,30 
2015 Chevrolet Camaro,Chevrolet,Camaro,2015,31205,18,36,Gas,75.5,54.70,190.6,RWD,4,2,Convertible,320,17,28 
2014 Chevrolet Camaro,Chevrolet,Camaro,2014,31055,18,36,Gas,75.5,54.70,190.6,RWD,4,2,Convertible,320,17,28 
2013 Chevrolet Camaro,Chevrolet,Camaro,2013,30660,18,36,Gas,75.5,54.70,190.4,RWD,4,2,Convertible,320,17,28 
2012 Chevrolet Camaro,Chevrolet,Camaro,2012,30180,18,36,Gas,75.5,54.7,190.4,RWD,4,2,Convertible,320,17,28 
2011 Chevrolet Camaro,Chevrolet,Camaro,2011,29275,18,36,Gas,75.5,54.7,190.4,RWD,4,2,Convertible,310,17,28 
2010 Chevrolet Camaro,Chevrolet,Camaro,2010,23880,18,36,Gas,75.5,54.2,190.4,RWD,4,2,2dr,300,17,29 
2024 Chevrolet Malibu,Chevrolet,Malibu,2024,28100,17,15,Gas,73,57.3,194.2,FWD,5,4,4dr,160,,
2023 Chevrolet Malibu,Chevrolet,Malibu,2023,28100,17,15,Gas,73,57.9,194.2,FWD,5,4,4dr,160,27,35 
2022 Chevrolet Malibu,Chevrolet,Malibu,2022,23400,16,15,Gas,73,57.9,194.2,FWD,5,4,4dr,160,29,36 
2021 Chevrolet Malibu,Chevrolet,Malibu,2021,22270,16,15,Gas,73,57.9,194.2,FWD,5,4,4dr,160,29,36 
2020 Chevrolet Malibu,Chevrolet,Malibu,2020,22140,16,15,Gas,73,57.9,194.2,FWD,5,4,4dr,160,29,36 
2019 Chevrolet Malibu,Chevrolet,Malibu,2019,28220,17,18,Gas/Electric,73.0,57.3,194.2,FWD,5,4,4dr,120,49,43 
2018 Chevrolet Malibu,Chevrolet,Malibu,2018,27920,17,18,Gas/Electric,73.0,57.6,193.8,FWD,5,4,4dr,120,49,43 
2017 Chevrolet Malibu,Chevrolet,Malibu,2017,27875,17,18,Gas/Electric,73.0,57.6,193.8,FWD,5,4,4dr,120,49,43 
2016 Chevrolet Malibu,Chevrolet,Malibu,2016,27770,17,18,Gas/Electric,73.0,57.6,193.8,FWD,5,4,4dr,120,47,46 
2015 Chevrolet Malibu,Chevrolet,Malibu,2015,22465,16,25,Gas,73.0,57.60,191.5,FWD,5,4,4dr,190,25,36 
2014 Chevrolet Malibu,Chevrolet,Malibu,2014,25945,17,24,Gas/Electric,73.0,57.60,191.5,FWD,5,4,4dr,180,25,36 
2013 Chevrolet Malibu,Chevrolet,Malibu,2013,24985,17,24,Gas/Electric,73.0,57.60,191.5,FWD,5,4,4dr,180,25,37 
2012 Chevrolet Malibu,Chevrolet,Malibu,2012,22110,17,24,Gas,70.3,57.1,191.8,FWD,5,4,4dr,160,22,33 
2011 Chevrolet Malibu,Chevrolet,Malibu,2011,21975,17,24,Gas,70.3,57.1,191.8,FWD,5,4,4dr,160,22,33 
2010 Chevrolet Malibu,Chevrolet,Malibu,2010,21825,17,24,Gas,70.3,57.1,191.8,FWD,5,4,4dr,160,22,30 
2009 Chevrolet Malibu,Chevrolet,Malibu,2009,25555,17,24,Gas/Electric,70.3,57.1,191.8,FWD,5,4,4dr,160,26,34 
2008 Chevrolet Malibu,Chevrolet,Malibu,2008,23895,16,24,Gas/Electric,70.3,57.1,191.8,FWD,5,4,4dr,160,24,32 
2024 Chevrolet Blazer EV,Chevrolet,Blazer EV,2024,57200,21,,Electric,78.0,65,192.2,RWD,5,4,SUV,,,
2024 Chrysler Pacifica,Chrysler,Pacifica,2024,61225,18,36,Gas/Electric,79.6,69.9,204.3,FWD,7,4,Van,260,,
2023 Chrysler Pacifica,Chrysler,Pacifica,2023,55345,17,36,Gas/Electric,79.6,69.9,204.3,FWD,7,4,Van,260,,
2022 Chrysler Pacifica,Chrysler,Pacifica,2022,54000,17,36,Gas/Electric,79.6,69.9,204.3,FWD,7,4,Van,260,,
2021 Chrysler Pacifica,Chrysler,Pacifica,2021,48985,17,36,Gas/Electric,79.6,69.9,204.3,FWD,7,4,Van,260,,
2020 Chrysler Pacifica,Chrysler,Pacifica,2020,45845,18,36,Gas/Electric,79.6,69.9,203.8,FWD,7,4,Van,260,,
2019 Chrysler Pacifica,Chrysler,Pacifica,2019,45795,18,36,Gas/Electric,79.6,69.9,203.8,FWD,7,4,Van,260,,
2018 Chrysler Pacifica,Chrysler,Pacifica,2018,44995,17,36,Gas/Electric,79.6,69.9,203.8,FWD,7,4,Van,260,,
2017 Chrysler Pacifica,Chrysler,Pacifica,2017,44995,18,36,Gas/Electric,79.6,69.9,203.8,FWD,7,4,Van,260,,
2008 Chrysler Pacifica,Chrysler,Pacifica,2008,27225,17,40,Gas,79.3,68.3,198.5,AWD,5,4,SUV,250,14,22 
2023 Chrysler 300,Chrysler,300,2023,55000,20,64,Gas,75,58.7,198.6,RWD,5,4,4dr,480,15,24 
2022 Chrysler 300,Chrysler,300,2022,42155,20,36,Gas,75,58.7,198.6,RWD,5,4,4dr,300,19,30 
2021 Chrysler 300,Chrysler,300,2021,39165,20,36,Gas,75,58.7,198.6,RWD,5,4,4dr,300,19,30 
2020 Chrysler 300,Chrysler,300,2020,41995,20,57,Gas,75,58.7,198.6,RWD,5,4,4dr,360,16,25 
2019 Chrysler 300,Chrysler,300,2019,41945,20,57,Gas,75,58.7,198.6,RWD,5,4,4dr,360,16,25 
2018 Chrysler 300,Chrysler,300,2018,40995,20,57,Gas,75,58.7,198.6,RWD,5,4,4dr,360,16,25 
2017 Chrysler 300,Chrysler,300,2017,41135,19,36,Gas,75,59.2,198.6,AWD,5,4,4dr,290,18,27 
2016 Chrysler 300,Chrysler,300,2016,41055,19,36,Gas,75,59.2,198.6,AWD,5,4,4dr,290,18,27 
2015 Chrysler 300,Chrysler,300,2015,40570,19,36,Gas,75,59.2,198.6,AWD,5,4,4dr,290,18,27 
2014 Chrysler 300,Chrysler,300,2014,44900,20,64,Gas,75,58.4,198.6,RWD,5,4,4dr,470,14,23 
2013 Chrysler 300,Chrysler,300,2013,44450,20,64,Gas,74.2,58.300,198.6,RWD,5,4,4dr,470,14,23 
2012 Chrysler 300,Chrysler,300,2012,36020,19,36,Gas,75.0,59.2,198.6,AWD,5,4,4dr,290,18,27 
2011 Chrysler 300,Chrysler,300,2011,40320,19,57,Gas,75.0,59.2,198.6,AWD,5,4,4dr,360,15,23 
2010 Chrysler 300,Chrysler,300,2010,40050,18,57,Gas,74.1,58.4,196.8,AWD,5,4,4dr,360,16,23 
2009 Chrysler 300,Chrysler,300,2009,39175,18,57,Gas,74.1,58.9,196.8,AWD,5,4,4dr,370,16,25 
2008 Chrysler 300,Chrysler,300,2008,25150,17,27,Gas,74.1,58.4,196.8,RWD,5,4,4dr,170,18,26 
2024 Dodge Hornet,Dodge,Hornet,2024,30735,17,20,Gas,82,63.8,178,AWD,5,4,SUV,260,21,29 
2023 Dodge Hornet,Dodge,Hornet,2023,30735,17,20,Gas,82,63.8,178,AWD,5,4,SUV,260,21,29 
2023 Dodge Challenger,Dodge,Challenger,2023,38765,20,36,Gas,75.7,58.4,197.9,AWD,5,2,2dr,300,18,27 
2022 Dodge Challenger,Dodge,Challenger,2022,36845,20,36,Gas,75.7,58.4,197.9,AWD,5,2,2dr,300,18,27 
2021 Dodge Challenger,Dodge,Challenger,2021,35725,20,36,Gas,75.7,58.4,197.9,AWD,5,2,2dr,300,18,27 
2020 Dodge Challenger,Dodge,Challenger,2020,31095,20,36,Gas,75.7,57.7,197.9,RWD,5,2,2dr,300,19,30 
2019 Dodge Challenger,Dodge,Challenger,2019,33695,19,36,Gas,75.7,57.5,197.9,AWD,5,2,2dr,300,18,27 
2018 Dodge Challenger,Dodge,Challenger,2018,38995,20,64,Gas,75.7,57.5,197.9,RWD,5,2,2dr,480,14,23 
2017 Dodge Challenger,Dodge,Challenger,2017,37995,20,64,Gas,75.7,57.5,197.9,RWD,5,2,2dr,480,14,23 
2016 Dodge Challenger,Dodge,Challenger,2016,37995,20,64,Gas,75.7,57.5,197.9,RWD,5,2,2dr,480,14,23 
2015 Dodge Challenger,Dodge,Challenger,2015,26995,20,57,Gas,75.7,57.5,197.9,RWD,5,2,2dr,370,15,23 
2014 Dodge Challenger,Dodge,Challenger,2014,30495,18,57,Gas,75.7,57.1,197.7,RWD,5,2,2dr,370,15,23 
2013 Dodge Challenger,Dodge,Challenger,2013,29995,18,57,Gas,75.7,57.100,197.7,RWD,5,2,2dr,370,15,23 
2012 Dodge Challenger,Dodge,Challenger,2012,29995,18,57,Gas,75.7,57.1,197.7,RWD,5,2,2dr,370,16,23 
2011 Dodge Challenger,Dodge,Challenger,2011,24895,18,36,Gas/Ethanol,75.7,57.1,197.7,RWD,5,2,2dr,300,18,27 
2010 Dodge Challenger,Dodge,Challenger,2010,30860,18,57,Gas,75.7,57.1,197.7,RWD,5,2,2dr,370,16,25 
2009 Dodge Challenger,Dodge,Challenger,2009,30220,18,57,Gas,75.7,57.1,197.7,RWD,5,2,2dr,370,16,25 
2008 Dodge Challenger,Dodge,Challenger,2008,37320,20,61,Gas,75.7,57.0,197.7,RWD,5,2,2dr,420,13,18 
2023 Dodge Charger,Dodge,Charger,2023,40430,20,36,Gas,75,58.5,198.4,AWD,5,4,4dr,300,18,27 
2022 Dodge Charger,Dodge,Charger,2022,38345,20,36,Gas,75,58.5,198.4,AWD,5,4,4dr,300,18,27 
2021 Dodge Charger,Dodge,Charger,2021,36400,20,36,Gas,75,58.5,198.4,AWD,5,4,4dr,300,18,27 
2020 Dodge Charger,Dodge,Charger,2020,34995,19,36,Gas,75,58.5,198.4,AWD,5,4,4dr,300,18,27 
2019 Dodge Charger,Dodge,Charger,2019,31745,20,36,Gas,75,58.2,198.4,RWD,5,4,4dr,300,19,30 
2018 Dodge Charger,Dodge,Charger,2018,39995,20,64,Gas,75,58.2,200.8,RWD,5,4,4dr,480,15,25 
2017 Dodge Charger,Dodge,Charger,2017,34895,20,57,Gas,75,58.2,198.4,RWD,5,4,4dr,370,16,25 
2016 Dodge Charger,Dodge,Charger,2016,33895,20,57,Gas,75,58.2,198.4,RWD,5,4,4dr,370,16,25 
2015 Dodge Charger,Dodge,Charger,2015,33595,20,57,Gas,75,58.2,198.4,RWD,5,4,4dr,370,16,25 
2014 Dodge Charger,Dodge,Charger,2014,30695,20,57,Gas,75,58.4,199.9,RWD,5,4,4dr,370,15,25 
2013 Dodge Charger,Dodge,Charger,2013,32495,19,57,Gas,74.2,58.200,200.3,AWD,5,4,4dr,370,15,23 
2012 Dodge Charger,Dodge,Charger,2012,32345,19,57,Gas,74.2,58.2,200.3,AWD,5,4,4dr,370,15,23 
2011 Dodge Charger,Dodge,Charger,2011,30395,20,57,Gas,75.0,58.4,199.9,RWD,5,4,4dr,370,16,25 
2010 Dodge Charger,Dodge,Charger,2010,28045,18,35,Gas,74.5,58.2,200.1,AWD,5,4,4dr,250,17,23 
2009 Dodge Charger,Dodge,Charger,2009,34260,18,57,Gas,74.5,58.2,200.1,AWD,5,4,4dr,360,16,23 
2008 Dodge Charger,Dodge,Charger,2008,33715,18,57,Gas,74.5,58.2,200.1,AWD,5,4,4dr,330,15,22 
2024 Dodge Durango,Dodge,Durango,2024,56920,20,36,Gas,75.8,72.9,200.8,AWD,6,4,SUV,290,,
2023 Dodge Durango,Dodge,Durango,2023,56640,20,36,Gas,75.8,72.9,200.8,AWD,6,4,SUV,290,18,25 
2022 Dodge Durango,Dodge,Durango,2022,54495,20,36,Gas,75.8,72.9,200.8,AWD,6,4,SUV,290,18,25 
2021 Dodge Durango,Dodge,Durango,2021,52327,20,36,Gas,75.8,72.9,200.8,AWD,6,4,SUV,290,18,25 
2020 Dodge Durango,Dodge,Durango,2020,45595,20,36,Gas,75.8,70.9,201.2,AWD,6,4,SUV,290,18,25 
2019 Dodge Durango,Dodge,Durango,2019,45845,20,36,Gas,75.8,70.9,201.2,AWD,6,4,SUV,290,18,25 
2018 Dodge Durango,Dodge,Durango,2018,44795,20,36,Gas,75.8,70.9,201.2,AWD,7,4,SUV,290,18,25 
2017 Dodge Durango,Dodge,Durango,2017,43995,20,36,Gas,75.8,70.9,201.2,AWD,7,4,SUV,290,18,25 
2016 Dodge Durango,Dodge,Durango,2016,41295,20,36,Gas,75.8,70.9,201.2,RWD,7,4,SUV,290,19,27 
2015 Dodge Durango,Dodge,Durango,2015,41295,20,36,Gas,75.8,71.6,201.2,RWD,7,4,SUV,290,18,25 
2014 Dodge Durango,Dodge,Durango,2014,40995,20,36,Gas,75.8,71.6,201.2,RWD,7,4,SUV,290,18,25 
2013 Dodge Durango,Dodge,Durango,2013,39995,20,36,Gas/Ethanol,75.8,71.6,199.8,RWD,7,4,SUV,290,16,23 
2012 Dodge Durango,Dodge,Durango,2012,40995,20,36,Gas/Ethanol,75.8,70.9,199.8,RWD,7,4,SUV,290,16,23 
2011 Dodge Durango,Dodge,Durango,2011,42020,20,36,Gas,75.8,70.9,199.8,RWD,7,4,SUV,290,16,23 
2008 Dodge Durango,Dodge,Durango,2008,32590,17,47,Gas,76.0,74.3,200.8,RWD,7,4,SUV,230,14,19 
2023 FIAT 500X,FIAT,500X,2023,29845,17,13,Gas,70.7,63.7,167.2,AWD,5,4,SUV,170,24,30 
2022 FIAT 500X,FIAT,500X,2022,27965,17,13,Gas,70.7,63.7,167.2,AWD,5,4,SUV,170,24,30 
2021 FIAT 500X,FIAT,500X,2021,26275,17,13,Gas,70.7,63.7,167.2,AWD,5,4,SUV,170,24,30 
2020 FIAT 500X,FIAT,500X,2020,24590,17,13,Gas,70.7,63.7,167.2,AWD,5,4,SUV,170,24,30 
2019 FIAT 500X,FIAT,500X,2019,24740,18,13,Gas,70.7,63.7,167.2,AWD,5,4,SUV,170,24,30 
2018 FIAT 500X,FIAT,500X,2018,23890,17,24,Gas,70.7,63.1,167.2,AWD,5,4,SUV,180,21,29 
2017 FIAT 500X,FIAT,500X,2017,27050,17,24,Gas,70.7,63.1,167.2,AWD,5,4,SUV,180,21,29 
